"año","cod_distrito","nombre_distrito","cod_barrio","nombre_barrio","poblacion","renta"
2015,1,"Ciutat Vella",1,"el Raval",47617,"75.8"
2015,1,"Ciutat Vella",2,"el Barri Gòtic",15269,"108.5"
2015,1,"Ciutat Vella",3,"la Barceloneta",15036,"76.6"
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22305,"96.4"
2015,2,"Eixample",5,"el Fort Pienc",31645,"104.8"
2015,2,"Eixample",6,"la Sagrada Família",51347,"95.8"
2015,2,"Eixample",7,"la Dreta de l'Eixample",43344,"165.8"
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41696,"128.9"
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57711,"103.8"
2015,2,"Eixample",10,"Sant Antoni",38248,"98.6"
2015,3,"Sants-Montjuïc",11,"el Poble Sec",40217,"74.3"
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1145,"36.9"
2015,3,"Sants-Montjuïc",13,"la Marina de Port",30374,"70.4"
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10355,"83.2"
2015,3,"Sants-Montjuïc",15,"Hostafrancs",15812,"82.2"
2015,3,"Sants-Montjuïc",16,"la Bordeta",18430,"74.3"
2015,3,"Sants-Montjuïc",17,"Sants - Badal",24085,"77.0"
2015,3,"Sants-Montjuïc",18,"Sants",40889,"88.2"
2015,4,"Les Corts",19,"les Corts",46086,"124.5"
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon",23845,"109.9"
2015,4,"Les Corts",21,"Pedralbes",11763,"250.5"
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4635,"151.7"
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià",24614,"199.1"
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16624,"214.1"
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25511,"188.9"
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46968,"205.1"
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29149,"141.0"
2015,6,"Gràcia",28,"Vallcarca i els Penitents",15508,"111.2"
2015,6,"Gràcia",29,"el Coll",7324,"89.0"
2015,6,"Gràcia",30,"la Salut",13213,"114.4"
2015,6,"Gràcia",31,"la Vila de Gràcia",50584,"106.3"
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34047,"103.0"
2015,7,"Horta-Guinardó",33,"el Baix Guinardó",25476,"90.4"
2015,7,"Horta-Guinardó",34,"Can Baró",8938,"88.1"
2015,7,"Horta-Guinardó",35,"el Guinardó",36073,"82.7"
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues",9443,"95.2"
2015,7,"Horta-Guinardó",37,"el Carmel",31498,"56.9"
2015,7,"Horta-Guinardó",38,"la Teixonera",11322,"74.5"
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6693,"93.5"
2015,7,"Horta-Guinardó",40,"Montbau",5070,"72.3"
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron",5613,"92.6"
2015,7,"Horta-Guinardó",42,"la Clota",568,"89.3"
2015,7,"Horta-Guinardó",43,"Horta",26624,"80.9"
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25499,"65.0"
2015,8,"Nou Barris",45,"Porta",24536,"61.4"
2015,8,"Nou Barris",46,"el Turó de la Peira",15420,"48.8"
2015,8,"Nou Barris",47,"Can Peguera",2267,"51.1"
2015,8,"Nou Barris",48,"la Guineueta",15074,"55.9"
2015,8,"Nou Barris",49,"Canyelles",6946,"55.6"
2015,8,"Nou Barris",50,"les Roquetes",15523,"47.8"
2015,8,"Nou Barris",51,"Verdun",12258,"55.4"
2015,8,"Nou Barris",52,"la Prosperitat",26184,"54.0"
2015,8,"Nou Barris",53,"la Trinitat Nova",7362,"35.6"
2015,8,"Nou Barris",54,"Torre Baró",2828,"47.1"
2015,8,"Nou Barris",55,"Ciutat Meridiana",10156,"34.5"
2015,8,"Nou Barris",56,"Vallbona",1351,"37.8"
2015,9,"Sant Andreu",57,"la Trinitat Vella",10210,"43.1"
2015,9,"Sant Andreu",58,"Baró de Viver",2482,"60.2"
2015,9,"Sant Andreu",59,"el Bon Pastor",12655,"58.0"
2015,9,"Sant Andreu",60,"Sant Andreu",56682,"75.6"
2015,9,"Sant Andreu",61,"la Sagrera",29020,"76.8"
2015,9,"Sant Andreu",62,"el Congrés i els Indians",14148,"70.1"
2015,9,"Sant Andreu",63,"Navas",22110,"85.8"
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38202,"78.7"
2015,10,"Sant Martí",65,"el Clot",27013,"84.7"
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14764,"96.8"
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9261,"150.2"
2015,10,"Sant Martí",68,"el Poblenou",33579,"95.6"
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13352,"162.5"
2015,10,"Sant Martí",70,"el Besòs i el Maresme",23026,"54.4"
2015,10,"Sant Martí",71,"Provençals del Poblenou",20244,"102.8"
2015,10,"Sant Martí",72,"Sant Martí de Provençals",26005,"68.3"
2015,10,"Sant Martí",73,"la Verneda i la Pau",28678,"57.5"
2015,99,"No consta",99,"No consta",1,"-"
2016,1,"Ciutat Vella",1,"el Raval",47274,"74.6"
2016,1,"Ciutat Vella",2,"el Barri Gòtic",15729,"110.5"
2016,1,"Ciutat Vella",3,"la Barceloneta",15068,"84.8"
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22380,"97.8"
2016,2,"Eixample",5,"el Fort Pienc",31693,"105.0"
2016,2,"Eixample",6,"la Sagrada Família",51349,"95.9"
2016,2,"Eixample",7,"la Dreta de l'Eixample",43715,"170.0"
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41872,"139.2"
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57676,"105.3"
2016,2,"Eixample",10,"Sant Antoni",38182,"104.0"
2016,3,"Sants-Montjuïc",11,"el Poble Sec",40104,"76.1"
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1146,"49.7"
2016,3,"Sants-Montjuïc",13,"la Marina de Port",30397,"68.3"
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10316,"84.9"
2016,3,"Sants-Montjuïc",15,"Hostafrancs",15915,"84.6"
2016,3,"Sants-Montjuïc",16,"la Bordeta",18518,"73.6"
2016,3,"Sants-Montjuïc",17,"Sants - Badal",23935,"74.5"
2016,3,"Sants-Montjuïc",18,"Sants",40831,"92.3"
2016,4,"Les Corts",19,"les Corts",45976,"119.9"
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon",23868,"114.3"
2016,4,"Les Corts",21,"Pedralbes",11864,"242.4"
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4641,"130.8"
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià",24810,"186.6"
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16486,"211.0"
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25761,"187.5"
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47156,"198.3"
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29318,"140.6"
2016,6,"Gràcia",28,"Vallcarca i els Penitents",15448,"112.9"
2016,6,"Gràcia",29,"el Coll",7391,"84.4"
2016,6,"Gràcia",30,"la Salut",13123,"116.4"
2016,6,"Gràcia",31,"la Vila de Gràcia",50670,"101.5"
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34275,"108.1"
2016,7,"Horta-Guinardó",33,"el Baix Guinardó",25563,"92.0"
2016,7,"Horta-Guinardó",34,"Can Baró",8969,"96.0"
2016,7,"Horta-Guinardó",35,"el Guinardó",36176,"80.1"
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues",9402,"94.8"
2016,7,"Horta-Guinardó",37,"el Carmel",31377,"54.5"
2016,7,"Horta-Guinardó",38,"la Teixonera",11281,"75.8"
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6828,"86.3"
2016,7,"Horta-Guinardó",40,"Montbau",5101,"82.2"
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron",5687,"87.5"
2016,7,"Horta-Guinardó",42,"la Clota",590,"91.4"
2016,7,"Horta-Guinardó",43,"Horta",26597,"80.6"
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25522,"63.7"
2016,8,"Nou Barris",45,"Porta",24567,"62.5"
2016,8,"Nou Barris",46,"el Turó de la Peira",15373,"51.7"
2016,8,"Nou Barris",47,"Can Peguera",2216,"51.5"
2016,8,"Nou Barris",48,"la Guineueta",15050,"54.4"
2016,8,"Nou Barris",49,"Canyelles",6925,"54.4"
2016,8,"Nou Barris",50,"les Roquetes",15428,"57.0"
2016,8,"Nou Barris",51,"Verdun",12261,"53.8"
2016,8,"Nou Barris",52,"la Prosperitat",26166,"55.1"
2016,8,"Nou Barris",53,"la Trinitat Nova",7259,"40.6"
2016,8,"Nou Barris",54,"Torre Baró",2795,"45.1"
2016,8,"Nou Barris",55,"Ciutat Meridiana",10055,"34.3"
2016,8,"Nou Barris",56,"Vallbona",1354,"51.9"
2016,9,"Sant Andreu",57,"la Trinitat Vella",10048,"48.9"
2016,9,"Sant Andreu",58,"Baró de Viver",2511,"72.6"
2016,9,"Sant Andreu",59,"el Bon Pastor",12594,"62.0"
2016,9,"Sant Andreu",60,"Sant Andreu",56695,"77.0"
2016,9,"Sant Andreu",61,"la Sagrera",28710,"77.9"
2016,9,"Sant Andreu",62,"el Congrés i els Indians",14051,"71.7"
2016,9,"Sant Andreu",63,"Navas",22097,"84.3"
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38252,"82.7"
2016,10,"Sant Martí",65,"el Clot",26928,"83.7"
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14861,"92.1"
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9346,"162.0"
2016,10,"Sant Martí",68,"el Poblenou",33621,"98.6"
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13455,"152.6"
2016,10,"Sant Martí",70,"el Besòs i el Maresme",22609,"54.7"
2016,10,"Sant Martí",71,"Provençals del Poblenou",20516,"98.7"
2016,10,"Sant Martí",72,"Sant Martí de Provençals",26031,"68.7"
2016,10,"Sant Martí",73,"la Verneda i la Pau",28673,"58.8"
2017,1,"Ciutat Vella",1,"el Raval",47986,"71.2"
2017,1,"Ciutat Vella",2,"el Barri Gòtic",16240,"106.1"
2017,1,"Ciutat Vella",3,"la Barceloneta",15101,"79.6"
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22923,"99.4"
2017,2,"Eixample",5,"el Fort Pienc",32048,"106.5"
2017,2,"Eixample",6,"la Sagrada Família",51651,"101.8"
2017,2,"Eixample",7,"la Dreta de l'Eixample",44246,"175.9"
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",42512,"137.2"
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58315,"110.2"
2017,2,"Eixample",10,"Sant Antoni",38412,"104.2"
2017,3,"Sants-Montjuïc",11,"el Poble Sec",40358,"82.2"
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1151,"40.0"
2017,3,"Sants-Montjuïc",13,"la Marina de Port",30622,"69.3"
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10422,"82.9"
2017,3,"Sants-Montjuïc",15,"Hostafrancs",15949,"99.0"
2017,3,"Sants-Montjuïc",16,"la Bordeta",18561,"79.0"
2017,3,"Sants-Montjuïc",17,"Sants - Badal",24047,"81.0"
2017,3,"Sants-Montjuïc",18,"Sants",41244,"99.0"
2017,4,"Les Corts",19,"les Corts",46104,"120.0"
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon",23980,"114.2"
2017,4,"Les Corts",21,"Pedralbes",12117,"248.8"
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4689,"144.1"
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià",25106,"193.6"
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16660,"215.8"
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25909,"184.6"
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47753,"192.1"
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29617,"144.6"
2017,6,"Gràcia",28,"Vallcarca i els Penitents",15615,"112.5"
2017,6,"Gràcia",29,"el Coll",7428,"87.0"
2017,6,"Gràcia",30,"la Salut",13207,"109.9"
2017,6,"Gràcia",31,"la Vila de Gràcia",50885,"104.4"
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34431,"105.7"
2017,7,"Horta-Guinardó",33,"el Baix Guinardó",25734,"92.0"
2017,7,"Horta-Guinardó",34,"Can Baró",9020,"83.3"
2017,7,"Horta-Guinardó",35,"el Guinardó",36538,"79.1"
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues",9390,"92.5"
2017,7,"Horta-Guinardó",37,"el Carmel",31583,"54.2"
2017,7,"Horta-Guinardó",38,"la Teixonera",11634,"73.7"
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6971,"84.1"
2017,7,"Horta-Guinardó",40,"Montbau",5171,"79.8"
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron",5792,"95.8"
2017,7,"Horta-Guinardó",42,"la Clota",611,"93.5"
2017,7,"Horta-Guinardó",43,"Horta",26743,"79.8"
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25618,"63.8"
2017,8,"Nou Barris",45,"Porta",25046,"64.4"
2017,8,"Nou Barris",46,"el Turó de la Peira",15506,"51.9"
2017,8,"Nou Barris",47,"Can Peguera",2233,"51.5"
2017,8,"Nou Barris",48,"la Guineueta",15247,"53.8"
2017,8,"Nou Barris",49,"Canyelles",6863,"52.2"
2017,8,"Nou Barris",50,"les Roquetes",15648,"49.7"
2017,8,"Nou Barris",51,"Verdun",12368,"51.3"
2017,8,"Nou Barris",52,"la Prosperitat",26398,"56.0"
2017,8,"Nou Barris",53,"la Trinitat Nova",7271,"48.2"
2017,8,"Nou Barris",54,"Torre Baró",2859,"46.5"
2017,8,"Nou Barris",55,"Ciutat Meridiana",10369,"38.6"
2017,8,"Nou Barris",56,"Vallbona",1379,"40.9"
2017,9,"Sant Andreu",57,"la Trinitat Vella",10006,"47.1"
2017,9,"Sant Andreu",58,"Baró de Viver",2539,"68.9"
2017,9,"Sant Andreu",59,"el Bon Pastor",12582,"65.1"
2017,9,"Sant Andreu",60,"Sant Andreu",57223,"77.7"
2017,9,"Sant Andreu",61,"la Sagrera",29031,"77.1"
2017,9,"Sant Andreu",62,"el Congrés i els Indians",14141,"75.1"
2017,9,"Sant Andreu",63,"Navas",22171,"81.6"
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38371,"81.7"
2017,10,"Sant Martí",65,"el Clot",27089,"83.6"
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",15204,"100.4"
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9404,"164.2"
2017,10,"Sant Martí",68,"el Poblenou",33931,"99.9"
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13710,"150.1"
2017,10,"Sant Martí",70,"el Besòs i el Maresme",22893,"60.4"
2017,10,"Sant Martí",71,"Provençals del Poblenou",20649,"102.3"
2017,10,"Sant Martí",72,"Sant Martí de Provençals",26187,"67.4"
2017,10,"Sant Martí",73,"la Verneda i la Pau",28725,"57.0"
